,location,title,company,salary,summary,rating
20541,"Bengaluru, Karnataka",newSenior Data Engineer,FUTURES AND CAREERS,NA,"
A data engineer with strong programming experience in Python.
Experience with big data processing within cloud environments such AWS S3.
",NA
20542,"Chennai, Tamil Nadu",Site Reliability Engineer,ViaSat,NA,"
Experience analyzing data and trending to gain operational efficiencies.
Experience with data analytics tools (Splunk, Kibana).
Be part of on-call rotations.
",3.7
20543,"Remote in Gurgaon, Haryana",Senior Data Engineer,mediaagility,NA,"
Understand big-data principles and best practices.
Strong technology experience in the field of transactional data and analytics systems.
",3.5
20544,"Kolkata, West Bengal",Software Engineer – Data Scientists,PatientMD,NA,"
Extract data from a variety of relational databases, manipulate, explore data using quantitative, statistical and visualization tools,.
",NA
20545,"Indore, Madhya Pradesh",newSr Software Engineer Python,APPLYCUP HIRING SOLUTIONS LLP,NA,"
Raw data transformation and processing.
Python git debugging software engineer api technical skills.
Qualification : BE ,Btech ,BSC Computer/IT,MSC ,MCA,any…
",NA
20546,"Bengaluru, Karnataka",ASIC/SoC RTL Engineer,Google,NA,"
We need our engineers to be versatile and passionate to take on new problems as we continue to push technology forward.
MSSE with 5 years of experience.
",4.3
20547,"Hyderabad, Telangana",Data Engineer,Grid Dynamics,NA,"
The role will be responsible for designing and building dashboards and data visualizations to help business users understand data and inform decisions.
",NA
20548,"Hyderabad, Telangana",Big Data Engineer,predera,NA,"
Work on data warehousing on big data platform, which may include both batch data processing and real-time stream processing.
Extensive knowledge of UNIX/Linux.
",NA
20549,"Gurgaon, Haryana",Senior Data Engineer I - ETL/Informatica,Amex,NA,"
Ingest data into our big data ecosystem and create analytical layer on top which helps business to take data-based strategic decisions.
",4.1
20550,"Kolkata, West Bengal",DevOps Engineer - Junior,Asconsoftech,NA,"
Security and data - should be able to identify network and data security issues and fix the same.
Basic understanding of GKE is a big plus.
",NA
20551,"Bengaluru, Karnataka",Data Engineer – VCA Data Engineering,Visa,NA,"
The Data Engineer takes responsibility for building and running data pipelines, designing our local data warehouse, data marts and data frameworks, and catering…
",3.9
20552,+1 locationRemote,SDET I,Jumio Corporation,NA,"
Strong knowledge of data structures, algorithms, distributed systems, and asynchronous architecture.
As an SDET at Jumio, the candidate is expected to develop…
",NA
20553,"Bengaluru, Karnataka","newBusiness Intelligence Engineer II, Ring Data Management",ADCI - BLR 14 SEZ,NA,"
3+ years of experience in data analysis, business intelligence, data science, or related quantitative functions.
A day in the life.
",3.5
20554,"Hybrid remote in Bengaluru, Karnataka",Compiler Validation Engineer,Intel,NA,"
Preferred Qualifications:- Knowledge in compiler concepts such as parsing, Intermediate representation, Optimization, Resource allocation and code generation-…
",4.1
20555,"Bengaluru, Karnataka",Big Data Engineer,Apple,NA,"
Mentor other engineers in the team on the development of big data technologies and applications.
Design and build tools and framework for managing and scaling…
",4.2
20556,"Gurgaon, Haryana",newSr Software Engineer- Java full stack & AEM,Gartner,NA,"
The team works on advanced tools and techniques for high performance web development, data analytics and system integration.
Solid foundation in Java/J2EE.
",3.7
20557,"Bengaluru, Karnataka",Skywise Engineer,Airbus,NA,"
Using the data exploration / manipulation and visualization techniques, the Skywise engineers provide deep insights into the Airline data, by developing…
",4.2
20558,"Bengaluru, Karnataka",Senior Data Engineer,Inviz AI,"₹30,00,000 - ₹45,00,000 a year","
Experience in building and optimizing “big data” data pipelines, architectures and data sets.
Should have skills in data ingestion, transformation, staging and…
",NA
20559,"Bengaluru, Karnataka",Machine Learning Engineer (Data Science),Walmart Global Tech India,NA,"
O Work closely with data engineers and data analysts to help build ML- and statistics-driven data quality and continuous data monitoring workflows.
",NA
20560,"Chennai, Tamil Nadu",Data Engineer | Bengaluru - Mumbai - Chennai | 5 Years,Ganit,NA,"
Good understanding of optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ‘big data’ technologies.
",NA
20561,"Remote in Hyderabad, Telangana+2 locations","newSoftware Engineer, Machine Learning",Zippin,NA,"
Own the ML pipeline from data collection, through the prototype development to production.
You will participate in the complete cycle of building machine…
",NA
20562,"Bangalore Urban, Karnataka",newHead of Data Science,Michael Page,NA,"
Experience with big data technologies.
Lead a group of data scientists, analysts, and engineers to deliver scalable machine learning solutions to production.
",3.5
20563,"Gurgaon, Haryana",Senior Data Engineer - Automotive Mastermind,S&P Global,NA,"
This will entail extraction, load and transformation of ‘big data’ from a wide variety of sources, both batch & streaming, using latest data frameworks and…
",3.9
20564,"Pune, Maharashtra+1 location",newData Engineer: Data Integration,IBM,NA,"
Implement scalable solutions to meet the ever-increasing data volumes, using big data/cloud technologies Apache Spark, Hadoop, any Cloud computing etc.
",3.9
