,location,title,company,salary,summary,rating
1067,"Hyderabad, Telangana",Data Scientist,FinAcPlus,,"
Ability to perform data mining.
Analyze third party vendor data and helping to apply that data retroactively to back-test default history.
",
1068,"New Delhi, Delhi",Consultant – Analytics (DER),ICF,,"
Experience with data science, and machine learning in Python or R.
As part of your role, you will have an opportunity to apply your academic knowledge and prior…
",3.4
1069,"Hyderabad, Telangana",Senior Research Scientist- Alexa Data Services,ADCI HYD 13 SEZ,,"
5+ years of work experience in areas such as data analytics, operations research, data modeling, machine learning and large scale simulation.
",3.5
1070,"Coimbatore, Tamil Nadu",Data Science and Business Analytics Intern,RaphaCure,"₹6,000 a month","
Willing to work as intern for 3 months.
Skilled in using relevant software and MS Office.
Analytical mind and ready to experiment.
",
1072,"Bengaluru, Karnataka","Data Scientist, Ring CS OpsExcellence",ADCI - BLR 14 SEZ,,"
Experience in data science and using data / metrics to determine improvements.
3+ years of experience in data science.
",3.5
1073,"Remote in Hyderabad, Telangana",Lead Data Scientist,Technovert,,"
Strong experience using a variety of data mining/data analysis methods.
Must have developed custom data models and algorithms to apply to data sets.
",3.3
1074,"Gurgaon, Haryana",Data Science Manager,Agoda Company,,"
The Data department oversees all of Agoda’s data-related requirements.
Experience with big data technologies (Hadoop/Vertica) is a plus.
",
1075,"Bengaluru, Karnataka",Data Scientist,Nutanix,,"
Analyze data for trends and patterns, and Interpret data with a clear objective in mind.
7+ years’ experience in data science.
",3.8
1076,"Bengaluru, Karnataka","VP, ESG Analytics",HSBC,,"
Strong understanding of HSBC wholesale banking data systems and credit risk drivers.
Programming experience in Python, PySpark, and SQL for data analysis and…
",4.0
1077,"Bengaluru, Karnataka",Data Scientist - WFM,ADCI - BLR 14 SEZ,,"
5+ years of overall experience in data science.
Experience digesting big data and creating automated workflows and web-based tools.
",3.5
1078,"Pune, Maharashtra",Data Scientist( Statistics Specialization),ArrayGen Technologies,,"
Data exploration, mathematical/statistical modelling, data analysis, and hypothesis testing.
Analyze & interpret data and communicate results to clients, often…
",4.0
1079,"Bengaluru, Karnataka",newData Analyst 2,PAYPAL,,"
Leveraging data analysis tools and technologies.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…
",3.9
1080,"Remote in Bengaluru, Karnataka",Data Science (R&D),Bosch Group,,"
2-4 years of experience in commercial software development & data science for medium to large scale deployments.
O Strong knowledge in Data Structures.
",4.1
